words, char_counts, cumulative_time
framing, 0, 1.28609
emulsifies, 5, 0.60957
incessant, 5, 0.63465
inviolable, 5, 0.88024
philosophically, 0, 2.3371
sauted, 0, 0.98093
penciling, 0, 1.47571
impeccably, 0, 1.46460
terminology, 0, 1.61899
sea's, 0, 0.59825
gruelings, 5, 0.47463
zircon, 0, 0.85670
Rodger, 3, 0.61443
macaroons, 0, 1.08084
footings, 0, 1.248168
catalytic, 3, 1.2291
groseark, 0, 1.22420
piqued, 3, 0.59585
admiration, 0, 1.7704
toke, 0, 0.740770
nimbi, 2, 0.71739
noise, 2, 0.50862
loadable, 0, 1.09789
intermediates, 0, 2.22767
Che's, 2, 0.36711
pointlessness, 0, 2.00298
woofed, 0, 1.002304
dolphins, 0, 1.4608
hobble, 0, 0.743136
honorable, 6, 0.368512
turnstile, 0, 1.51165
snakebites, 6, 0.60137
contrition, 0, 1.80291
grocer, 0, 0.71829
clarion, 0, 0.97750
dabbler, 0, 0.95929
massive, 0, 0.966311
Mel's, 2, 0.61649
fair, 0, 0.785035
Dionne's, 0, 1.22777
sixties, 0, 1.36207
affiliation, 0, 2.18314
deflections, 0, 1.8775
William, 0, 1.11136
ascetic, 0, 1.1075
copies, 0, 0.97960
haunces, 3, 0.47247
Simone's, 5, 0.60205
countersign, 0, 1.59777
Emerson, 3, 0.85465
Currier, 1, 0.87195
Salazar, 0, 0.97690
calsite, 0, 1.07371
Albany, 0, 0.99891
beachcomber, 0, 1.335822
military, 0, 1.41464
Nevsky, 3, 0.61429
liberalizations, 0, 2.5671
interface, 0, 1.53245
bowlegged, 0, 1.22434
calyx, 0, 0.8579
phantasm, 0, 1.2257
survivors, 0, 1.2184
hairbrush, 4, 0.77004
hurrah, 2, 0.482410
Houdini, 0, 1.45677
educations, 6, 0.88370
yelled, 0, 1.0133
podcasts, 0, 1.3594
occur, 0, 0.60613
auto's, 0, 1.12209
scounted, 0, 1.10934
pursuit, 4, 0.47848
carnege, 0, 0.84990
contest, 0, 1.129088
kilogram, 0, 1.236573
heaving, 0, 0.97329
taping, 0, 1.11786
dumbness, 0, 1.07519
skiing, 0, 1.12897
touching, 0, 1.25037
invertebrate, 0, 1.99579
uniformed, 0, 1.47436
biggie, 0, 0.957108
homeland, 0, 1.141082
reappeared, 0, 1.59190
antigens, 0, 1.2732
deserves, 3, 0.72364
depositions, 0, 2.03018
Gienah, 3, 0.48695
snake, 1, 0.60259
Iraqi, 0, 1.0314
soldering, 0, 1.36618
crayon, 0, 0.86960
lieutenants, 6, 0.847935
undercurrent, 0, 1.742649
syllabify, 6, 0.49032
Kuznets, 0, 1.28275
