words, char_counts, cumulative_time
framing, 3, 1.80233
emulsifies, 5, 1.65977
incessant, 5, 1.62956
inviolable, 5, 2.26467
philosophically, 0, 5.964237
sauted, 0, 2.70322
pencilling, 6, 1.66552
impeccably, 5, 2.34122
terminology, 7, 1.633353
sea's, 0, 1.631185
gruelings, 5, 1.32727
zircon, 3, 1.67477
Rodger, 3, 1.64532
macaroons, 5, 1.33981
footings, 3, 2.669234
catalytic, 4, 1.98774
groseark, 0, 2.9511337
piqued, 3, 1.66444
admiration, 5, 2.29277
toke, 1, 1.624715
nimbi, 0, 2.30026
noise, 0, 1.998625
loadable, 0, 2.988096
intermediates, 7, 2.668382
Che's, 2, 1.003466
pointlessness, 7, 2.990933
woofed, 0, 2.673832
dolphines, 5, 1.969610
hobble, 1, 1.658520
honorable, 6, 0.999822
turnstile, 4, 1.987920
snakebites, 0, 4.366172
contrition, 0, 4.705237
grocer, 1, 1.64732
clarion, 3, 1.338063
dabbler, 4, 1.304232
massive, 3, 1.308938
Mel's, 2, 1.361635
fair, 1, 1.65408
Dionne's, 4, 1.964781
sixties, 2, 3.060014
affiliation, 7, 2.326411
deflection, 6, 1.981368
William, 2, 2.388036
ascetic, 3, 1.317237
copies, 1, 2.309698
haunces, 2, 1.630581
Simone's, 5, 1.308112
countersign, 0, 4.377269
Emerson, 4, 2.015241
Currier, 4, 1.00066
Salazar, 3, 1.305303
calsite, 0, 2.99378
Albany, 3, 1.651655
beachcomber, 7, 1.3171072
military, 5, 1.688163
Nevsky, 3, 1.297670
liberalizations, 9, 2.296655
interface, 3, 2.98471
bowlegged, 5, 1.294577
calyx, 0, 1.968538
phantasm, 4, 1.992710
survivors, 0, 3.344574
hairbrush, 4, 2.003530
hurrah, 2, 1.3022348
Houdini, 4, 1.657676
educations, 7, 1.364920
yelled, 3, 1.329267
podcasts, 5, 1.635673
occur, 2, 1.013615
auto's 0, 2.368130
scounted, 0, 3.35842800
pursuit, 4, 1.316082
carnege, 0, 2.299461
contest, 2, 1.980171
kilogram, 5, 1.658859
heaving, 2, 2.02539
taping, 3, 1.660619
dumbness, 4, 1.622525
skiing, 2, 2.3683531
touching, 3, 1.968029
invertebrates, 8, 1.9861270
uniformed, 3, 2.631228
biggie, 3, 1.3196848
homeland, 5, 0.999854
reappeared, 6, 1.6604800
antigens, 3, 2.323219
deserves, 4, 1.6579179
depositions, 7, 1.95854103
Gienah, 3, 1.670933
snake, 2, 1.034361
Iraqi, 2, 1.6303169
soldering, 5, 1.6633180
crayon, 2, 1.322572
lieutenants, 8, 1.290356
undercurrent, 6, 2.368772
syllabbify, 6, 0.993559
Kuznets, 4, 1.30063
